idx,eco,context.target,prompt,entailment,Subject_Equal,Inner_Tense,Inner_Person,Mat_Tense,Mat_Person
304051,없음,다만 그것을 인제 강남과 비강남 여성들의 결혼과 아 기혼율 또는 비혼율을 어 비교를 해봤더니 어떤 재밌는 얘기가 나왔냐면 강남에 사시는 여성들은 교육 수준이 높을수록 혼인을 유지할 확률이 높습니다. 결혼을 하고 이혼하지 않을 확률이. 그리고 반대로 비강남권에 사시는 분들은 교육수준이 높을수록 여성들이 혼인을 선택하지 않고 비혼에 머물 확률이 굉장히 높습니다. 이게 참 놀라운 어 어떤 그 결과였는데요. 그것이 어떤 의미가 있는지 좀 고민을 해봤어요.,비강남권에 사는 여성들은 교육수준이 높을수록 혼인을 선택하지 않고 비혼에 머무른다,entailment,n,현재,3,현재,3
301014,없음,과거에 관공서 건물들을 보면 창이 열주처럼 해서 쫙 나열식으로 있습니다. 이게 뭐냐 하면 마치 병사가 나열하여 있는 것처럼 그래서 쭉 나열식으로 있죠. 그게 굉장히 권위를 상징하는 거거든요.,과거 관공서 건물들을 보면 병사가 나열해 있다,contradiction,n,현재,3,현재,4
303043,없음,교통과 법률 시간입니다. 지난 이일 창원터널 참사를 불러왔던 유류 운반 화물차가 적재물을 제대로 고정하지 않은 것으로 드러나서 충격을 주고 있는데요. 오늘 자동차 법률 시간에 도로 위 폭탄이라고 불리는 과정 및 적재 불량 차량에 문제점에 대해서 이야기를 나눠볼까 합니다.,지난 이일 창원터널 참사를 불러왔던 유류 운반 화물차는 적재물을 제대로 고정하지 않았다,entailment,y,과거,3,현재,3
201005,없음,"국립국제교육원에서 다도(茶道)를 배우고, 거문고·가야금과 같은 전통악기를 보는 등 새로운 문화를 배우면서 한국에 매료됐다. 그는 ""2주간 한국을 다니면서 언젠가 조국에 정착해 살아야겠다고 생각했다""며 ""혼자 우즈베키스탄과 한국을 오가다가 아내, 자녀와 함께 지난해 8월 정착했다""고 했다. 차 지부장은 고려인들의 잃어버린 문화와 언어를 되찾아주는 것이 중요하다고 강조했다.","차 지부장은 혼자 우즈베키스탄과 한국을 오가다가 아내, 자녀와 함께 지난해 8월 정착했다",entailment,y,과거,3,과거,3
303052,없음,그리고 저희들이 아까 말씀 드렸다시피 열 가지 가능성들을 전부 다 테이블 위에 올려놔 놓고 각각에 대해서 전부 다 조사를 다 했습니다. 그래서 그 가능성이 없는 것은 전부 다 이 버리고 그래서 최종적으로 남은 게 이게 지하철 구 호선 공사현장이었다라는 것을 제가 한 번 더 말씀 드립니다. 그리고 또 서울시 입장에서는 하루빨리 일단 원인을 발표를 해야 됩니다.,열 가지 가능성에서 최종적으로 남은 것은 지하철 구 호선 공사현장이었다,entailment,n,과거,3,현재,1
303102,없음,그리고 상위 열두 개 대학 정도는요. 오히려 수능에서 가장 많은 학생들을 뽑고요. 학생부 종합논술 서울 이십 개 대학 한다면은 자 수능 학생부 종합 논술 제가 수시만 좀 빨간색으로 표시해서 학생부 종합과 논술이 상위권 대학이 좋아하는 수시전형이다 라는 걸 안내하기 위함입니다. 네. 만약에 우리 아이가 학생부 종합과 논술을 둘 다 쓸 수 있다면 가장 이상적이겠죠.,학생부 종합 전형과 논술 전형은 상위권 대학이 좋아하는 수시전형이다,entailment,n,현재,3,현재,3
102067,없음,총 120조원을 2028년까지 단계적으로 투입한다. 업계에서는 SK하이닉스가 클러스터 조성 비용의 상당 부분을 부담할 것으로 예상하고 있다. 반도체클러스터 구미유치가 성사될 경우 침체된 구미경제는 획기적 전환점을 맞게 된다.,반도체클러스터 구미유치가 성사될 것이다,neutral,n,미래,3,미래,3
401077,없음,P4: 지금 현재 한국 나이로 여덟 살 아들 다섯 살 딸 아이 두 아이를 돌보고 있습니다. P1: 네. 어~ 아직도 우리 직장 문화에서는 조금씩 바뀌고 있다고는 하지만 육아 휴직을 좀 부정적으로 생각하는 경향은 여전히 남아 있는데요. P4: 네. P1: 개선되어야 할 부분 중에 하난데 처음 이 육아 휴직을 할 때 그럼 이~ 이진 씨에 주변 반응은 어땠습니까?,우리 직장 문화는 육아 휴직을 좀 부정적으로 생각한다,entailment,n,현재,3,현재,3
108075,없음,놀란 박선자는 말을 더듬으며 “뭐라고 다시 한 번만”이라고 물었다. 폐암말기이십니다 요즘에는 폐암이래도 나을 수 있는 가능성이 아주 없는 건 아니지만 환자분께서는 너무 늦게 찾아오신 거 같습니다. 또 “그동안 몸에 증상같은거 없으셨어요? 이 정도 됐으면 분명 증상이 나왔을텐데”라고 물었다.,요즘에는 폐암이래도 나을 수 있다,neutral,n,현재,3,현재,3
301061,없음,예대마진 차이는 줄어들면 줄어들수록 좋죠. 물론 다만 이제 은행 은행이나 금융권에 아무리 공공성이 있다 하더라도 어쨌든 민간 또 사업자들이기 때문에 이윤은 거둬들여야 되고 그걸로 또 직원들 더 채용해서 이렇게 고용도 늘리면 좋은 거니까. ,은행이나 금융권에 공공성이 있다,entailment,n,현재,3,현재,4
401105,없음,P2: 정부 소식통 얘길 들어보면 뭐 삼월 사 일부터는 이 전구급 지휘소 훈련 그까 종전 명칭이 키리졸브 P1: 네. P2: 이건 많이 들어보셨죠? P1: 네. P2: 이 연습을 한다는 잠정 계획에는 변함이 없다라고 얘기하고 있지만 구체적인 계획에 대해서는 지금 발푤하지 않고 있습니다. P1: 음~ 알겠습니다.,키리졸브 연습을 한다는 잠정 계획이 변한다,contradiction,n,현재,3,현재,3
401093,없음,P3: 우리나라가 전체 살인 중에서 이 존속 살해가 오 프로가 된다는 거예요. P1: 아하 P3: 그니까 살인 사건 백 건 중에서 다섯 건은 존속 살인 사건이라는 거죠. P1: 예. P3: 이 비율은 이제 얼마나 높은가 하면은 미국 같은 경우에는 존속 살인 비율이 이 프로 영국 같은 경우 일 점 오 프로 P1: 아하 P3: 이런 주요 국가들에 비해서 서너 배 높게 나타나는 것으로 밝혀졌습니다. P1: 네. 심은숙 선생님 P2: 예. P1: 자~ 이렇게 인제 가족 간에 불화가 끔찍한 결과에 이르기도 하는데 P2: 예. P1: 대개 유산 상속 문제일 수도 있고 P2: 네. P1: 부모를 누가 모시느냐 이 다툼일 때도 있고 그래요.,미국과 영국에 비해서 우리나라는 존속살인 비율이 서너 배 높게 나타난다,entailment,n,현재,3,과거,3
304018,없음,아니 우리가 우리 장기에 대해서 다 알고 있는 듯해도 오 대 장기 중에서 가장 잘 모르는 장기가 또 신장이 아닌가 싶거든요. 그래서 그 신장에 대해서 좀 알아보고 소개를 해 주신다고 그랬어요. 먼저 이상호 교수님이 소개를 좀 해 주시죠.,이상호 교수님이 신장에 대해서 좀 알아보고 소개를 해 주실 것이다,entailment,y,현재,3,과거,3
303058,없음,그런 전력을 염두에 두고 있기 때문일까요? 트럼프 대통령은 언론인들과의 모임에서 미치광이와 협상하는 리스크는 김정은이 지게 될 것이라고 말했습니다. 이 말은 자기를 미치광이라고 했다는 겁니다.,미치광이와 협상하는 리스크는 김정은이 지게 될 것이다,neutral,n,미래,3,과거,3
301021,없음,학생부교과전형으로 가고 싶은데 내가 내신이 조금 모잘라. 이랬을 때는 에 두 번째 방법이죠. 어 학생부 플러스 면접을 어 선호해보는 것도 괜찮을 것이라는 생각이 듭니다. 자 여기에 우리가 사례를 하나 보여드리죠. 아 이런 사례 학생부 교과 아 공주대학교 생물교육과를 합격한 학생들이죠.,학생부교과전형으로 가고 싶은데 내가 내신이 조금 모잘라 하는 학생들은 학생부 플러스 면접을 선호해 보는 것도 괜찮을 것이다,entailment,n,미래,3,현재,3
201042,없음,분리대와 경계블럭 등 안전시설물이 설치돼 있었지만 버스 정류장을 제외한 자전거 전용도로의 일부 구간이 군데 군데 끊겨 있었다. 일부 자전거 운전자들은 자전거 전용도로가 끊기자 인도ㆍ자전거 겸용도로로 이동했지만 상당수는 자전거 전용도로가 끊겨있다는 것을 모른채 차도를 그대로 내달렸다. 그때마다 뒤따르던 차량들은 차도를 달리는 자전거 운전자들을 향해 경적을 울리거나 아슬아슬하게 스쳐 지나갔다.,자전거 전용도로가 끊겨있다,entailment,n,현재,3,과거,3
303100,없음,자 이~ 과거 범행을 이유로 복수에 나섰다는 건데 대체 왜 이런 행동을 한 걸까요? 프로파일러 분석 들어보시죠. 자 피해자의 과거가 또 다른 살인을 부른 상황입니다. 있어선 안 될 일이 벌어진 건데 자 삼십삼 년 전으로 한번 가보겠습니다.,피해자의 과거가 또 다른 살인을 불렀다,entailment,n,과거,3,현재,3
401102,양태,P1: 이게 오늘은 쿡 포인트가 될 수 있을거 같은데요. P2: 네네. P1: 이걸 얇게 채를 썰기 때문에 절이지 않고 약간 버무려 먹을 수 있다라는게 포인트가 될 수 있는거죠 P2: 그쵸. P1: 예.,채소를 얇게 채를 썰기 때문에 절이지 않고 약간 버무려 먹을 수 있다,entailment,n,현재,4,현재,3
305033,없음,이 마흔이 다 돼서 낳은 늦둥이 딸을 십년이 넘도록 찾고 있는 부부가 있습니다. 그 사이에 가세는 기울고 건강까지 나빠졌다고 하는데요. 딸에 실종 이후 무너진 이 부부를 만나봤습니다.,부부가 늦둥이 딸을 십년이 넘도록 찾는 사이에 가세는 기울고 건강까지 나빠졌다,entailment,n,과거,3,현재,3
103093,없음,금융자본은 세계 구석구석의 자산을 곶감 빼먹듯 했다. 이는 2008년 글로벌 금융위기를 불렀다. 가이 스탠딩 런던대 교수는 신자유주의가 프롤레타리아보다 더욱 불안정한 `프레카리아트'라는 새로운 무산계층을 낳았다고 말한다.,신자유주의가 프롤레타리아보다 더욱 불안정한 프레카리아트라는 새로운 무산계층을 낳았다,entailment,n,과거,3,현재,3
107059,없음,"이 판본은 영국의 음악학자 조나단 델 마르(Jonathan Del Mar)가 수정 편집한 악보로 베토벤 교향곡 원본에 가장 충실한 것으로 인정받고 있다. 이와함께 올해 경기필의 라인업 모두가 특별할 것이라고 그는 설명했다. 오는 4월 교향악 페스티벌, 5월 중 진행되는 콘체르토 콘서트, 7월 유명 소프라노 엘사 드레이지(Elsa Dreisig)를 초청해 진행하는 대형 콘서트 등.",올해 경기필의 라인업 모두가 특별할 것이다,entailment,n,미래,3,과거,3
303107,없음,아~ 그나저나 또 이번 주에 또 아쉬운 소식이 있습니다. 국민 예능 이제 무한도전이 이제 막을 내린다는 소식이 있는데 많은 분들은 그 시간대에 이제 뭐 리모컨을 ((허남바))에 맡겨야 되나. 맡겨야 되나 뭐 이런 신문들이 꽤 -많이- 많으실 거예요.그쵸?,국민 예능 무한도전이 이제 막을 내린다,entailment,n,현재,3,현재,3
203015,없음,"범인 A씨는 해가 바뀐 이날 오전 0시 10분, 도쿄 시부야구 다케시타거리에서 차량으로 행인들이 움집한 곳에 돌진했다. 그는 연말연시를 맞아 차량 통행이 금지됐던 메이지진구 인근의 도로에서 행인 8명을 들이받았고, 살인미수 혐의로 즉각 체포됐다. A씨는 체포 직후 자신의 행동을 '테러'라며 규정했고, ""사형에 대한 보복""이라고 옴진리교 사형수들의 형 집행에 불만이 있음을 내비쳤다. 앞서 일본 정부는 지난해 7월 도쿄 지하철역 사린가스 테러사건 등과 관련해 교주 아사하라 쇼코 등 옴진리교 관계자 13명의 사형을 집행한 바 있다.",범인 A씨는 옴진리교 사형수들의 형 집행에 불만이 있었다,entailment,n,현재,3,과거,3
107011,없음,해외 무대에 집중하다 보니 자연스럽게 코리안투어의 출전 대회 수가 줄어든 이수민은 코리안투어 시드마저 잃을 수 있었으나 지난해 12월 군산CC에서 열린 ‘코리안투어 QT(퀄리파잉 토너먼트)’에서 공동 26위에 올라 이번 시즌 코리안투어 시드를 확보하는 데 성공했다. 이수민은 “’코리안투어 QT’ 출전이 처음이었고 여기서 좋은 성적을 내지 못한다면 코리안투어로 돌아갈 수 있는 확률이 낮아진다는 사실에 부담감이 있기도 했다. 하지만 좋아하는 코스이고 2번의 우승을 이뤄냈던 곳인만큼 ‘할 수 있다’라는 믿음도 있었다”라고 소회했다.,’코리안투어 QT’에서 좋은 성적을 내지 못한다면 코리안투어로 돌아갈 수 있다,contradiction,n,현재,3,현재,3
303009,양태,세책점 운영하는 사람들이 거기서 책을 빌려주는데 끝난 게 아니라 스스로 소설을 창작을 하기도 했었구요. 그 주변 사람들한테 거기도 한 번 써 보시오. 이렇게 유도를 하면서 그 소설의 수를 불려나가는 것이죠. 제작을 독려했다고도 볼 수 있는데 어 주로 이제 어 소설을 청탁받은 사람들이나 세책점을 운영했던 사람들이 좀 아전 정도나 조금 이하 중간층 정도 되는 그런 사람들이었고 자신들과 유사한 신분에 있는 사람들한테도 소설을 청탁하거나 또 공급받기도 했었습니다.,세책점을 운영하는 사람들이 주변 사람들에게 책 제작을 독려했다,entailment,n,과거,3,현재,4
401012,없음,P1: 유족들은 당시 군이 사건을 축소하려 했다. 이렇게 주장을 하는데 당시 경찰과 군 검찰에 수사 기록에 김 교수님 P5: 예. P1: 좀 이상한 점이 있었다고 해요. P5: 그렇습니다. 이~ 저~ 이~ 경찰 쪽에서는 살인 사건으로 P1: 예. P5: 본 거 같습니다.,당시 경찰과 군 검찰의 수사 기록에 이상한 점이 있었다,entailment,n,과거,3,현재,3
304056,없음,지금 밝혀진 어~ 노조를 어 노조를 통해서 지금 밝혀진 바로는 뭐 직원분들 같은 경우에는 일부가 나는 여기에 대해서 강제적으로 하고 싶지 않았는 데도 불구하고 강제적으로 할 수 밖에 없는 분위기가 형성되었다라고 하면서 얘기하는 것들이 뭐 예를 들자면은 참여율 같은 것들을 병원 별로 보기 때문에 참여율이 없으면 우리 병원 내에서 뭔가 좀 참여가 저조하고 그렇다 보니까 이제 무언의 압박 같은 것들을 받을 수가 없었다는 입장이에요. 그래서 저는 병원 측에 입장도 어느 정도는 가능하다고 봅니다.,우리 병원 내에서 참여가 저조하다보니까 직원분들은 무언의 압박 같은 것들을 받을 수가 없었다,entailment,n,과거,3,현재,3
