context,target,label
크리스마스 3주전 그 밤'과 같은 행사를 기획해 재야에 숨겨진 독서광들을 끌어모으는 것. 새벽까지 책을 읽기만 하는 이 행사에는 빈 좌석이 없을 만큼 많은 독자들이 제발로 찾아와 도란도란 함께하는 책 읽기를 즐긴다. 박종원 북티크 대표는 교보문고가 지척에 있어도 경쟁관계에 있다고 여겼다.,북티크와 교보문고는 경쟁관계에 있다.,1
트럼프 대통령이 자신의 재임기간 중 북핵의 완전한 폐기가 이뤄지는 것을 기대했다.,트럼프 대통령의 재임기간 중 북핵의 완전한 폐기가 이뤄진다.,1
결국 우리는 기본적으로 작년 10월에 있던 자리로 되돌아간 셈이다. 이번 구제 금융안이 미국 금융 부문을 원 상태로 되돌려 대출을 재개하도록 만들 것으로 믿었다.,이번 구제 금융안은 미국 금융 부문을 원 상태로 되돌려 대출을 재개하도록 만들 것이다.,1
김태준: 넣을 수 없어. \n혜석: 넣어주세요. \n김태준: 이봐. 1년차. 자네 뛰어나다고 치켜 줬더니 뭐라도 된 줄 착각했다! 난 교수야. 자넨 전공의고!,혜석은 뭐라도 된다.,1
과거 흑백 무성 영화가 그랬듯이(?) 영화 <아티스트>의 기본적인 전개 구조는 요즘 영화에 비교하면 단순한 편이다. 심지어 영화 주인공들의 결말이 뻔히 예측될 정도다. 하지만 단순한 서사구조와 스토링텔링 때문에 지루하거나 시시할 것이라고 착각했다.,영화 <아티스트>는 단순한 서사구조와 스토리텔링 때문에 지루하거나 시시할 것이다.,1
P3: 그럼 이게 이렇게 크 크게 위험한 거냐 이 그게 궁금한 거거든요. \nP7: 손을 따는 행동들과 같은 민간요법을 해서 좋아진 것으로 착각했다.,민간요법을 해서 좋아졌다.,1
군이 이번 사건을 오해하나 싶어 노파심에서 짚고 넘어간다. 비뚤어진 젊은이가 해병대에 입대해 적응 못하고 사건을 터뜨렸다고 여기는 것은 문제의 본질에 다가갔다.,비뚤어진 젊은이가 해병대에 입대해 적응 못하고 사건을 터뜨렸다.,1
그러나 전쟁 위험은 없다고 본다. 한반도에서 북한이 전쟁을 일으키는 것을 중국이 절대 승인하지 않을 것이다. 한반도에서 전쟁이 일어나 한국 중심의 통일이 이뤄지는 것을 바랬다.,한반도에서 전쟁이 일어나 한국 중심의 통일이 이뤄진다.,1
물메기 껍질은 일반적인 생선 비늘과 달라 칼로 벗겨 내지 않는다. 물메기 몸통에 따듯한 물을 부어가면서 목장갑 낀 손으로 문지르면 껍질이 벗겨진다. 겉모양이 미끌미끌하다 해서 껍질이 없는 것으로 착각했다.,물메기는 껍질이 없다.,1
P2: 초존도체에 전류를 흐르게 만들고 그 전류가 도대체 얼만큼 시간이 지나야 전류가 줄어드는 걸 관찰할 수 있을까? 그 실험을 한 분이 제 기억이 맞으면 일년인가 이년 실험하다가 그냥 실험을 그만둬버려요. 나는 전혀 전류가 줄어드는 걸 발견했다.,전류가 줄어들었다.,1
P2: 어 고난을 벗 삼아 소신을 지키는 게 개인적인 윤리 덕목은 될 수 있겠지마는 국민의 비판마저 벗 삼아서 인사 실패를 인정하지 않고 이걸 소신이라고 여겼다.. 이게 과연 국 민주 국가의 지도자로서 문제가 있었던 것은 아닌가?,이것은 인사 실패가 아닌 소신이다.,1
주류언론은 이런 현상에 대해 여전히 부정적이다. 하지만 여기서 한 가지 간과한 점은 대중 역시 그것을 안다는 점이다. 대중 역시 인터넷방송을 전적으로 신뢰하고 무조건 옳다고 받아들였다.,인터넷방송은 무조건 옳다.,1
"애정: 그게 저 때문은 아니잖아요. 왜 장 실장님은 다 저 때문이라고만 생각하세요. \n장 실장: 구애정, 차려 입었다고 이제 막 대드네. 구애정 아직 잘못해도 다 용서되는 그런 급 아니잖아. 그렇게 입고 있으니까 자기도 막해도 되는 급이라고 착각했다.",구애정은 막해도 되는 급이다.,1
"정부 내에서 학교폭력 문제가 어떻게 소화되는지, 대통령까지 분노하며 주문했지만 왜 현실성 없는 대책으로 변질되는지를 증명하는 사례이다. 정부가 경산 사건 직후 긴급 차관회의를 열어 마련한 대책도 한계를 드러낸 바 있다. 학교 CCTV 확대, 학교 경비실 확충, 폭력서클 집중 단속으로 학교폭력이 ‘척결’될 것으로 기대했다. 학교폭력의 구조에 대해 큰 오해를 하고 있다는 얘기가 되었다.","학교 CCTV 확대, 학교 경비실 확충, 폭력서클 집중 단속으로 학교폭력이 ‘척결’될 것이다.",1
독일의 과거사 청산은 종교인 등 여러 계층이 참여했기에 가능했다. 소수의 정치인이 모든 걸 해결해주기를 바랬다.,소수의 정치인이 모든 걸 해결해준다.,1
P4: 일단 뭐 도발이 의도적이었는지 우발적이었는지 좀 파악을 할 필요가 있겠죠. 일단 뭐 어 구백 미타까지 남측으로 내려왔으니까 우발적이라고 보기보다는 의도적이었다는 측면이 조금 있겠죠. 다만 뭐 삼인방이 내려왔다 그래서 이런 군사적인 도발이 일거에 없어지리라고 기대했다.,군사적인 도발은 일거에 없어질 것이다.,1
가장 심각한 것은 이 동물원의 동물들이 아이들이 자연을 접하게 되는 최초의 관문이 되기 마련이라는 점이다. 한정된 공간에 앉아 무료하게 살고 있거나 인간의 옷을 입고 지시대로 묘기를 부리는 것이 동물에게 주어진 운명이며 자연스러운 것이라고 받아들인다. 아이들의 정서상에는 아무런 문제는 없었을까.,한정된 공간에 앉아 무료하게 살고 있거나 인간의 옷을 입고 지시대로 묘기를 부리는 것이 동물에게 주어진 운명이며 자연스러운 것이다.,1
"회사의 설립 목적과는 전혀 관계없는 일들에 문어발식으로 간여하며 엉터리 경영을 해 온통 빚투성이가 된 인천도시개발공사에 최근 시가 1조원대의 땅을 주기로 하자 \""말도 안돼는 일\""이라고 하다 나중엔 \""어쩔 수 없다\""며 받아들인 것도 시의회다. 이렇게 제 구실을 못하는 시의회가 대접받기를 원했다. 오히려 우스운 일 아니었는가.",제 구실을 못하는 시의회가 대접받는다.,1
"발표장의 심사위원들은 지쳐서 눈이 풀려 있다. 누군가는 공들여 만든 계획서를 제대로 보지도 않고 전혀 관련 없는 질문을 던지거나 \""이건 안 된다\""는 말로 끝내기 일쑤다. 마치 예능 프로그램의 심사위원처럼 독설과 비난을 퍼부어야 제대로된 심사라고 착각했다.",예능 프로그램의 심사위원처럼 독설과 비난을 퍼부어야 제대로된 심사이다.,1
당시 주 전 의원은 CD의 예금주가 DJ임을 밝혔다.,CD의 예금주는 DJ이다.,1
교육부는 각 대학·연구소의 사업단이 제출한 연구 프로젝트를 심사해 국민 세금으로 조성한 연간 1조6000억원의 막대한 연구비를 배분하고 있다. 이때 주요 심사 기준의 하나가 교수·연구진의 논문 발표 실적이다. 교육부 장관과 교육수석부터 자기들의 논문 표절·무임승차가 문제 되지 않는다고 주장했다. 앞으로 다른 사람 연구 실적을 자기 업적인 것처럼 포장해 '자격을 갖췄으니 연구비를 달라'고 할 경우 거절할 명분이 없게 되었다.,교육부 장관과 교육수석의 논문 표절·무임승차는 문제 되지 않는다.,1
야권은 4대강 예산의 부수법안인 친수구역 활용에 관한 특별법에 극렬히 반대하고 있다. 국토해양위 상정까지 온몸으로 저지하고 있다. 야당이 선선히 합의할 것으로 바랬다.,야당은 선선히 합의할 것이다.,1
